index,pdfsize,metadata size,xref Length,obj,endobj,JS,Javascript
349,3,180,10,10,10,1,1
828,9,298,10,19,19,0,0
4139,99,273,102,60,60,0,0
2543,8,180,10,9,9,1,1
1883,15,180,10,4,4,1,1
7762,30,284,60,77,77,0,0
4902,79,283,35,26,26,0,0
1017,1,180,111612,3,3,1,1
2651,13,224,20,9,9,0,0
7666,27,226,61,114,114,0,0
6566,3,356,12,11,11,0,0
8054,36,293,189,217,217,0,0
3862,42,334,40,39,39,0,0
533,1,180,111113,17,17,1,1
940,14,224,20,27,27,5,6
2406,10,382,18,8,8,1,1
2094,9,180,70,9,9,1,2
6875,146,344,151,80,80,0,0
2031,8,180,9,9,9,1,2
1606,17,180,10,8,7,1,1
2899,25,256,29,9,9,1,1
2796,2,180,11,80,80,3,4
6751,279,282,68,79,79,0,0
5810,319,361,167,419,419,0,0
811,15,180,10,21,20,1,2
7646,113,273,257,61,61,0,0
4004,58,335,37,36,36,0,0
3753,35,370,62,60,60,0,0
315,14,224,20,13,13,2,3
932,6,201,996,19,19,0,0
5829,62,326,50,212,212,1,1
3739,49,359,69,67,67,0,0
233,10,180,70,10,10,1,2
7622,24,298,12,22,22,0,0
712,8,180,11,17,17,1,2
4362,82,262,21,6,6,0,0
858,15,224,20,17,17,1,1
4224,52,314,244,53,53,0,0
3413,8,180,11,3,2,1,2
3574,44,180,125,30,30,2,3
6307,92,410,471,278,278,0,0
1897,15,483,23,9,9,1,1
3439,48,287,40,19,19,0,0
4896,86,283,26,54,54,0,0
2287,95,180,9,9,9,1,1
7689,29,291,53,1139,1139,0,0
2132,8,232,18,9,9,2,3
5925,71,413,245,53,53,0,0
7654,126,297,160,48,48,0,0
4024,57,385,47,46,46,0,0
6479,794,458,318,173,173,0,0
4428,68,262,21,11,11,0,0
5120,73,265,21,24,24,0,0
2874,0,351,5,9,9,1,1
2210,2,180,111612,4,4,1,1
6473,85,349,415,40,40,0,0
5018,86,265,21,11,11,0,0
3544,828,180,9,14,13,0,1
7356,23,298,12,418,418,0,0
4217,33,319,22,21,21,0,0
6606,270,372,778,661,661,2,3
3165,433,311,30,10,10,1,1
7682,11,300,22,49,49,0,0
2276,5,180,16,9,9,1,2
4194,58,319,28,27,27,0,0
3355,89,180,77,15,15,0,0
6618,230,486,78,371,371,1,2
4712,75,262,21,31,31,0,0
982,13,224,20,12,12,2,3
676,2,226,10,19,19,0,0
4071,79,373,55,54,54,0,0
5911,58,391,352,70,70,0,0
3184,38,256,28,26,25,1,2
1979,80,275,50,9,9,1,2
5678,78,398,629,71,71,0,0
4319,67,365,89,88,88,0,0
487,8,224,10,10,10,1,2
7351,23,298,12,138,138,0,0
6779,157,283,61,11,11,0,0
2647,31,294,22,9,9,2,3
6610,118,356,948,231,231,2,3
6147,91,375,763,74,74,0,0
856,5,180,18,21,21,5,6
465,15,180,10,15,15,2,3
496,15,180,10,12,12,2,3
5551,72,226,312,113,113,0,0
3405,81,180,9,19,19,0,0
65,2,180,111612,15,15,1,2
763,8,180,16,10,10,1,1
3125,33,681,67,76,76,0,0
2372,30,328,24,8,8,1,1
4590,79,283,32,115,115,1,0
5076,79,262,21,46,46,0,0
2453,60,288,10,8,8,1,1
4593,79,283,32,32,32,0,0
4885,90,285,139,11,11,0,0
3910,54,398,306,81,81,0,0
1242,3,180,8,8,8,1,1
1402,1,180,111612,9,9,1,2
7111,20,196,36,35,35,0,0
2133,9,180,70,9,9,1,2
4339,81,272,21,6,6,0,0
2470,8,180,11,9,9,2,3
23,6,211,18,12,12,2,3
730,2,222,15,14,14,2,3
8087,15,252,34,44,44,0,0
1595,19,256,22,8,8,1,1
4453,73,262,21,11,11,0,0
5841,85,349,218,117,117,0,0
1915,1083,204,61,9,9,1,1
1429,2,180,10,9,9,1,2
319,193,180,9,19,19,0,0
2223,11,180,77,9,9,1,1
5060,79,262,21,24,24,0,0
743,94,180,9,14,14,2,3
6656,134,370,784,252,252,2,3
3392,73,376,35,13,13,0,0
7121,178,304,67,66,66,0,0
2441,405,180,7,8,8,1,1
3820,36,382,189,70,70,0,0
8103,397,273,92,33,33,0,0
1978,43,335,17,9,9,1,2
5067,77,273,59,12,12,0,0
1053,6,254,10,19,19,0,0
7792,37,288,551,52,52,0,0
5614,74,276,64,17,17,0,0
1650,14,224,20,6,6,1,1
457,1,180,111113,16,16,1,2
7106,107,283,37,36,36,0,0
7592,24,260,12,20,20,0,0
4477,78,283,25,6,6,0,0
2484,2,180,9,9,9,1,2
4235,45,229,55,54,54,0,0
7990,50,229,110,49,49,0,0
7497,26,260,12,6,6,0,0
4842,83,283,34,6,6,0,0
4210,69,319,43,42,42,0,0
7006,213,271,164,26,26,0,0
5741,89,339,1129,35,35,0,0
5557,75,226,314,168,168,0,0
1084,95,180,9,13,13,2,3
2166,8,180,11,9,9,1,1
5766,67,352,594,328,328,1,1
682,57,256,41,15,15,1,2
3003,6,201,996,9,9,1,1
132,2,180,111614,19,19,0,0
1739,15,224,20,5,5,1,1
3213,4,504,14,19,19,0,0
503,7,180,17,11,11,3,4
3434,65,262,62,0,1,0,0
1374,15,224,20,4,4,1,1
1934,7,239,10,9,9,1,2
696,17,242,10,21,21,5,6
3728,45,285,73,69,69,0,0
1203,14,224,20,9,9,2,1
4169,68,338,91,90,90,0,0
5597,39,318,253,204,204,0,0
5771,79,367,369,194,194,0,0
5184,75,283,25,11,11,0,0
7226,196,283,154,153,153,0,0
1005,7,180,11,28,28,1,2
6580,151,353,1071,84,84,2,3
736,1,180,111113,12,12,2,3
6657,128,446,352,148,148,8,9
2802,8,180,10,59,59,0,0
6165,75,347,380,77,77,0,0
970,79,256,96,12,13,3,4
3751,73,376,84,82,82,0,0
4680,70,272,21,29,29,0,0
7773,45,288,193,52,52,0,0
5027,97,262,21,43,43,0,0
1670,2048,201,996,9,9,1,1
625,3,250,15,19,19,0,0
2722,15,224,20,9,9,0,0
37,16,180,10,10,10,1,1
2760,46,180,15,8,8,1,1
4288,97,283,35,34,34,0,0
4708,86,283,30,11,11,0,0
2795,1,180,111714,9,9,1,2
5612,66,276,84,122,122,0,0
3872,64,352,22,21,21,0,0
2338,46,180,11,8,8,1,1
1330,12,180,9,35,35,1,1
5958,49,356,233,84,84,0,0
7708,253,247,269,195,195,0,0
5371,84,262,21,28,28,0,0
5389,84,283,33,30,30,0,0
5620,49,291,109,25,25,0,0
95,2,180,10,10,10,1,2
6687,267,342,307,1812,1812,0,0
6394,65,363,105,197,197,0,0
8025,19,229,46,50,50,0,0
6450,56,373,68,105,105,0,0
6752,142,282,44,67,67,0,0
6848,240,305,966,110,110,0,0
5816,59,338,1163,687,687,404,404
5952,79,373,320,45,45,0,0
2127,5,247,16,9,9,1,2
2517,9,180,9,39,39,0,0
1313,15,224,20,9,9,1,2
1643,17,248,10,9,9,1,1
1586,14,224,20,7,7,1,1
5669,96,360,913,110,110,0,0
7492,29,298,12,227,227,0,0
1558,18,240,31,8,8,1,1
251,2,180,111612,10,10,1,1
5157,85,272,21,32,32,0,0
334,14,224,20,17,17,2,3
2997,41,278,23,4,4,1,1
2910,8,180,10,36,36,0,0
4999,32,298,12,26,26,0,0
7078,199,286,375,374,374,0,0
6707,124,192,16,19,19,0,0
4529,39,298,100,176,176,0,0
5559,82,226,343,181,181,0,0
8080,19,229,39,35,35,0,0
3660,13,480,23,10,9,2,3
4773,63,298,22,6,6,0,0
7530,15,260,12,279,279,0,0
7323,117,283,37,26,26,0,0
1665,2,180,7,9,9,1,1
2510,243,347,21,4,4,1,1
6416,90,325,610,84,84,0,0
7975,52,229,119,77,77,0,0
7626,151,265,24,9,9,0,0
3065,8,180,9,8,8,1,1
1412,189,266,68,9,9,1,2
7148,187,304,81,79,79,0,0
5940,95,357,747,55,55,0,0
6574,160,354,1961,598,598,2,3
157,5,201,79,19,19,0,0
1025,38,180,11,26,25,1,2
5404,96,283,45,6,6,0,0
6062,71,384,261,76,76,0,0
4825,81,283,31,30,30,0,0
4932,82,283,25,37,37,0,0
4763,78,272,21,171,171,0,0
1793,2,180,11,8,8,1,1
429,306,180,9,19,19,0,0
2697,9,180,9,33,33,0,0
1533,2,196,15,9,9,1,2
453,7,201,996,12,12,1,2
4392,88,484,78,6,6,0,0
554,7,180,10,13,13,2,3
2868,9,180,9,31,31,0,0
5155,87,272,21,26,26,0,0
7297,114,265,24,57,57,0,0
5471,49,324,300,63,63,0,0
6178,75,395,238,131,131,0,0
3064,8,246,19,8,8,1,1
2937,9,180,18,8,8,1,1
1807,17,180,10,46,46,2,4
3467,58,330,25,10,10,1,1
4515,37,290,49,23,23,0,0
2492,6,256,19,9,9,1,1
1701,15,180,10,7,6,1,1
7867,59,229,96,52,52,0,0
2650,120,290,45,8,8,1,1
2457,2,180,14,48,48,1,2
6063,43,462,212,92,92,0,0
7044,162,267,158,157,157,0,0
1965,7,201,996,9,9,1,2
994,6,218,10,15,15,1,2
5220,97,283,26,28,28,0,0
6897,189,345,143,120,120,0,0
4960,94,283,31,46,46,0,0
6924,330,333,1009,285,285,1,0
353,8,254,10,12,12,1,2
6433,65,422,230,34,34,0,0
6631,106,360,528,429,429,2,3
5888,94,387,586,108,108,0,0
3268,8,180,11,11,11,1,2
5303,79,262,21,39,39,0,0
1839,1,180,111113,6,6,1,1
7619,26,298,12,28,28,0,0
4371,77,272,21,6,6,0,0
2412,3,250,15,9,9,2,3
8126,25,314,242,1033,1033,0,0
3410,9,180,9,17,17,0,0
6772,262,329,65,6,6,0,0
1244,17,180,10,7,6,1,1
3332,42,180,11,19,19,0,0
4772,71,262,21,27,27,0,0
7310,20,298,12,11,11,0,0
4564,69,262,21,110,110,0,0
6522,1,351,8,7,7,0,0
6430,48,594,246,41,41,0,0
2614,18,180,10,9,9,2,3
4091,58,335,47,46,46,0,0
5196,87,283,28,37,37,0,0
3185,77,77185,5,24,24,1,2
1426,11,180,9,9,9,1,2
3455,9,180,70,3,3,1,2
4534,85,283,32,33,33,0,0
1345,2,248,15,8,8,1,1
2770,9,180,9,7,7,0,0
7880,104,288,2666,47,47,0,0
5422,76,283,27,34,34,0,0
5890,92,333,991,662,662,0,0
2540,46,180,15,9,9,1,1
7687,176,304,88,51,51,0,0
6928,397,351,405,993,993,0,0
4868,90,283,34,11,11,0,0
1880,103,315,24,8,8,1,1
1034,24,347,21,19,19,0,0
7278,21,299,19,24,24,0,0
6667,167,377,2209,503,503,44,44
5354,75,272,21,136,136,0,0
2918,15,224,20,8,7,1,1
7203,25,298,12,11,11,0,0
1617,1,180,111612,9,9,1,2
3855,48,307,66,33,33,0,0
5417,92,283,29,134,134,0,0
1420,15,257,16,8,8,1,1
5412,85,283,23,6,6,0,0
1407,17,261,10,8,8,1,1
1945,8,180,10,9,9,1,2
1662,14,256,16,8,8,1,1
8042,11,289,27,27,27,0,0
5001,94,283,35,11,11,0,0
2577,56,256,69,4,4,1,1
5860,41,340,111,44,44,0,0
1087,9,180,9,21,21,1,2
4782,90,283,29,33,33,0,0
3803,68,314,86,47,47,0,0
2699,14,224,20,39,39,0,0
483,2,180,111612,14,14,2,3
6395,76,390,455,112,112,2,3
6730,111,283,46,45,45,0,0
5380,77,262,21,314,314,0,0
7281,24,298,13,25,25,0,0
2576,207,305,22,9,9,1,1
6754,118,282,45,43,43,0,0
3836,55,326,49,48,48,0,0
7713,122,250,198,230,230,0,0
3886,32,447,55,54,54,0,0
2884,243,347,21,9,9,1,2
5572,72,226,576,110,110,0,0
7096,192,304,114,100,100,0,0
5025,32,298,12,16,16,0,0
1044,8,180,11,17,17,2,3
48,15,224,20,10,10,1,1
5641,76,517,1097,47,47,0,0
2388,174,267,102,9,9,1,1
5300,84,265,21,29,29,0,0
3464,7,201,996,12,12,1,2
1840,16,301,10,9,9,1,2
2471,4,247,16,6,6,0,0
1844,3,271,15,9,9,1,2
5845,409,398,610,292,292,0,0
5970,86,374,476,122,122,0,0
7260,16,283,10,6,6,0,0
393,14,224,20,10,10,1,2
3543,8,180,11,25,25,0,0
230,7,180,11,15,15,1,2
3094,7,180,12,7,6,1,1
5491,73,226,565,40,40,0,0
6608,104,355,926,47,47,2,3
7691,271,282,105,79,79,0,0
1995,7,180,10,7,7,2,3
6510,5,350,29,28,28,0,0
6936,313,333,322,546,546,0,0
2036,5,246,16,9,9,2,3
7993,123,229,260,80,80,0,0
6859,168,226,36,67,67,0,0
5400,92,283,33,6,6,0,0
3653,15,363,25,14,14,2,3
1046,51,330,27,15,15,1,2
61,7,180,10,10,10,1,1
7883,115,254,56,67,67,0,0
957,969,292,79,10,10,1,1
7262,25,260,12,12,12,0,0
5955,70,373,307,118,118,0,0
6217,56,381,238,39,39,0,0
332,31,255,10,19,19,0,0
6214,85,382,39,313,313,1,2
2478,1,180,6,9,9,1,1
3149,59,403,59,61,61,0,0
1550,10,258,31,8,8,1,1
5969,93,374,512,110,110,0,0
6436,326,390,336,568,568,0,0
6478,90,300,22,21,21,0,0
800,1,180,111113,18,18,3,4
1746,16,180,10,9,9,1,2
6696,156,328,76,75,75,0,0
3231,7,247,19,19,19,0,0
2582,45,180,25,47,47,0,0
2423,94,180,9,8,8,1,1
4161,33,252,52,51,51,0,0
7872,19,229,40,58,58,0,0
4271,75,265,21,6,6,0,0
5130,78,279,46,11,11,0,0
3927,35,299,25,24,24,0,0
1002,57,256,41,13,13,2,3
5156,69,283,25,11,11,0,0
538,2,196,15,11,11,3,4
2826,4,246,16,9,9,2,3
7697,16,296,82,48,48,0,0
79,17,180,10,14,14,2,3
3298,5,180,18,10,10,1,1
1922,2,180,9,8,8,0,0
6963,144,384,163,45,45,0,0
2840,270,226,35,8,8,1,1
6352,36,289,190,29,29,0,0
1699,11,265,19,8,8,1,1
8037,18,253,26,48,48,0,0
7211,232,1025,83,82,82,0,0
6124,403,441,28325,76,76,0,0
5681,73,364,273,536,536,0,0
6553,1,347,11,10,10,0,0
1544,15,256,16,8,8,1,1
2226,2,180,111612,42,42,0,0
6126,343,361,412,774,774,2,3
4231,40,318,74,73,73,0,0
2619,5,180,8,9,9,1,1
149,14,224,20,13,13,1,2
3734,31,285,61,60,60,0,0
794,15,287,10,10,10,1,1
5273,80,262,21,24,24,0,0
710,6,300,15,14,14,2,3
169,16,180,10,15,15,2,3
1672,27,246,10,7,6,1,2
1768,2,180,7,8,8,1,1
4934,93,454,89,36,36,0,0
5744,99,534,240,68,68,0,0
1870,17,180,10,7,7,1,1
5501,65,305,551,88,88,0,0
6052,50,466,151,191,191,2,3
3838,51,662,98,97,97,0,0
7569,105,283,34,36,36,0,0
5826,70,366,141,74,74,0,1
1078,7,180,10,21,21,5,6
6807,103,283,25,27,27,0,0
3542,9,180,9,0,0,1,1
4617,94,262,21,33,33,0,0
2118,7,180,10,9,9,1,2
7179,16,288,25,24,24,0,0
509,2,196,15,19,19,0,0
4456,81,283,23,6,6,0,0
6059,65,421,367,263,263,0,0
647,21,256,16,10,10,1,1
6800,157,269,30,16,16,0,0
1744,2048,291,27,9,9,1,1
4989,53,243,20,6,6,0,0
1414,18,180,10,8,8,1,1
4793,93,283,36,6,6,0,0
7059,188,273,73,34,34,0,0
7484,27,298,12,26,26,0,0
6783,156,262,27,56,56,0,0
7828,22,229,51,79,79,0,0
6341,359,381,1572,55,55,0,0
4369,81,265,21,6,6,0,0
4034,59,371,49,48,48,0,0
6083,90,385,483,71,71,0,0
5185,83,262,21,24,24,0,0
4030,60,380,43,42,42,0,0
3103,35,431,72,68,68,0,0
1928,13,180,16,71,72,0,0
3805,375,300,619,618,618,0,0
5558,33,305,199,83,83,0,0
3520,8,180,10,25,25,1,1
4391,77,262,21,54,54,0,0
544,15,180,10,15,15,3,4
3973,95,342,292,291,291,0,0
7457,20,283,10,21,21,0,0
965,11,180,46,10,10,1,1
5065,79,262,21,16,16,0,0
2446,7,211,9,9,9,1,1
7694,131,305,890,26,26,0,0
3939,47,307,34,39,39,0,0
3107,34,412,72,69,69,0,0
7085,142,295,494,119,119,0,0
1616,147,256,18,9,9,1,2
2799,7,180,11,9,9,1,1
7632,29,298,12,36,36,0,0
2138,5,180,1991,9,9,1,2
7789,79,302,889,45,45,0,0
5908,373,365,854,1539,1539,0,0
2648,15,180,10,9,8,2,3
7066,25,285,47,28,28,0,0
1221,15,224,20,9,9,1,2
5899,83,414,650,108,108,0,0
7428,28,260,12,34,34,0,0
5634,51,482,383,764,764,0,0
601,9,298,10,19,19,0,0
4509,38,307,48,139,139,0,0
408,7,201,996,10,10,1,1
5391,81,283,33,11,11,0,0
4239,83,358,445,167,167,0,0
3347,36,224,20,19,19,0,0
7458,100,283,40,33,33,0,0
1010,6,196,28,18,18,5,6
7074,17,285,28,15,15,0,0
7638,212,271,95,33,33,0,0
1142,3,230,12,11,11,1,2
997,17,180,10,10,10,1,1
1183,3,180,8,7,6,1,2
1042,18,250,15,19,19,0,0
3352,9,180,9,114,114,2,2
1055,10,256,16,30,30,1,2
1737,13,180,9,9,9,1,2
5707,73,368,362,51,51,0,0
1926,3,180,9,61,60,1,2
4196,57,319,28,27,27,0,0
4656,75,265,21,11,11,0,0
2903,12,180,9,9,9,2,3
576,9,180,70,27,27,5,6
1783,129,256,73,9,9,1,1
706,9,180,9,18,18,3,4
1022,7,180,10,15,15,2,3
1817,3,180,9,9,9,1,1
2867,39,290,33,8,8,1,1
1502,16,248,10,8,8,1,1
5166,79,262,21,13,13,0,0
4409,75,262,21,35,35,0,0
177,8,180,11,21,21,5,6
3207,519,180,8,19,19,0,0
4076,63,399,46,45,45,0,0
3608,11,256,16,22,22,3,4
6463,33,317,275,38,38,0,0
5531,71,226,308,110,110,0,0
7218,22,298,12,11,11,0,0
4398,33,298,12,93,93,0,0
328,0,180,2,19,19,0,0
5874,326,384,2325,242,242,0,0
2973,7,180,13,9,9,1,1
7485,104,283,39,6,6,0,0
2245,15,224,20,9,9,0,0
5688,55,392,211,44,44,0,0
8131,4,396,14,9,9,1,1
3114,36,528,74,74,74,0,0
5480,75,226,549,134,134,0,0
5903,77,416,329,140,140,0,0
7387,15,260,12,28,28,0,0
6291,65,393,495,58,58,0,0
4424,71,265,21,11,11,0,0
2691,20510,323,64,9,9,1,1
4412,59,262,21,32,32,0,0
2644,26,347,21,328,328,1,1
7011,22,330,39,42,42,0,0
2611,1934,268,3366,9,9,1,2
1454,13,224,20,8,8,1,1
7594,29,298,12,11,11,0,0
7535,128,262,24,9,9,0,0
6425,349,384,5545,271,271,0,0
5209,84,265,21,11,11,0,0
3470,7,180,1991,19,19,5,6
181,87,331,32,11,11,3,4
4397,82,283,26,11,11,0,0
7659,163,296,175,117,117,0,0
7618,28,283,10,6,6,0,0
4464,77,272,21,17,17,0,0
4764,87,283,26,44,44,0,0
5086,63,265,21,6,6,0,0
1483,10,180,17,8,8,1,1
3113,36,368,77,72,72,0,0
2181,2,180,8,42,42,0,0
6849,169,305,991,120,120,0,0
1277,17,250,15,8,8,1,1
3978,55,321,75,74,74,0,0
7741,54,252,64,74,74,0,0
5493,55,305,356,29,29,0,0
41,9,180,9,10,10,1,1
8146,45,344,41,9,9,1,1
2718,3,222,11,7,7,1,1
7723,203,290,119,205,205,0,0
6201,57,348,188,53,53,0,0
217,14,256,16,11,11,3,4
185,8,180,10,10,10,2,2
3282,8,180,10,22,22,1,1
4520,79,262,21,11,11,0,0
1027,7,239,10,13,13,1,2
7558,17,298,13,35,35,0,0
5670,72,370,513,154,154,0,0
6741,212,265,27,26,26,0,0
683,3,250,15,10,10,1,1
4881,76,262,21,34,34,0,0
6379,92,353,1290,122,122,0,0
87,10,180,45,15,15,1,2
7198,23,298,12,11,11,0,0
1199,15,224,20,9,9,1,2
1608,1,180,111113,9,9,1,2
7367,21,295,25,48,48,0,0
1832,12,180,9,9,9,1,2
4189,69,306,118,117,117,0,0
6115,82,401,1291,403,403,1,2
4149,53,295,49,48,48,0,0
257,5,218,10,19,19,0,0
5428,94,283,39,113,113,0,0
3393,4,180,14,26,26,0,0
3755,34,285,74,70,70,0,0
3127,33,482,69,69,69,0,0
1992,9,180,70,9,9,2,3
6997,383,317,2443,44,44,0,0
6825,261,286,18,128,128,0,0
5972,311,371,833,61,61,0,0
6785,184,262,30,34,34,0,0
7205,100,283,41,40,40,0,0
737,2,180,111614,11,11,3,4
7570,26,298,18,39,39,0,0
5738,98,379,482,79,79,0,0
543,8,180,11,25,25,1,2
2275,102,247,42,9,9,1,2
2992,566,180,127,9,9,1,2
1886,11,438,19,9,9,1,1
1623,10,258,31,40,40,3,4
5247,34,542,143,6,6,0,0
7750,15,301,29,34,34,0,0
8132,4,358,13,8,8,1,1
1731,250,180,6,9,9,1,2
3026,7,201,996,4,4,1,1
7977,23,229,53,63,63,0,0
3794,38,368,59,39,39,0,0
381,2,180,111612,15,15,2,3
56,1,180,111612,19,19,0,0
69,8,180,11,14,14,2,3
3774,37,436,47,47,47,0,0
8096,18,252,34,44,44,0,0
7598,115,283,39,11,11,0,0
1168,4,180,17,11,11,1,2
4222,31,314,42,41,41,0,0
3080,220,180,25,8,8,1,1
6864,135,296,203,50,50,0,0
5679,75,332,231,261,261,0,0
4264,87,262,21,6,6,0,0
7388,27,298,12,11,11,0,0
4373,73,262,21,6,6,0,0
445,12,180,9,13,13,1,2
4956,73,265,21,11,11,0,0
5484,68,226,482,42,42,0,0
4122,88,450,79,78,78,0,0
2034,7,256,16,9,9,1,2
3821,36,253,54,53,53,0,0
3720,82,297,89,88,88,0,0
1649,10,289,10,8,8,1,1
6969,302,364,228,131,131,0,0
1656,3,180,11,8,8,1,1
3478,38,267,42,17,17,0,0
6632,105,365,267,269,269,2,3
4647,46,279,36,184,184,0,0
19,10,180,36,26,26,1,1
7781,103,288,783,54,54,0,0
7609,29,260,12,22,22,0,0
4503,79,262,21,452,452,0,0
4407,83,283,36,26,26,0,0
5912,97,395,224,59,59,0,0
4110,64,331,56,55,55,0,0
4705,66,283,48,11,11,0,0
751,8,180,11,25,25,0,0
8016,22,229,48,171,171,0,0
5587,39,265,76,416,416,0,0
2638,8,246,19,9,9,1,1
476,210,180,9,10,10,1,1
6020,55,377,105,173,173,0,1
3142,42,391,61,53,53,0,0
