pdfsize,metadata size,pages,xref Length,title characters,isEncrypted,embedded files,images,obj,endobj,stream,endstream,xref,trailer,startxref,pageno,encrypt,ObjStm,JS,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,launch,EmbeddedFile,XFA,Colors,Class
15,180,1,10,0,0,0,0,21,21,10,10,1,1,1,2,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
8,180,1,11,0,0,0,0,12,12,5,5,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,Malicious
12,180,1,9,0,0,0,0,35,1,33,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,9,0,0,Malicious
11,296,1,10,16,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
1,180,1,111113,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
10,258,1,31,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
15,224,0,20,7,0,0,0,13,13,3,3,1,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
2,180,0,8,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
9,180,1,9,0,0,0,0,10,10,2,2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,Malicious
275,296,1,81,8,0,0,1,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,21,21,11,11,1,1,1,1,0,0,5,6,0,0,0,0,0,0,0,0,0,Malicious
15,224,0,20,7,0,0,0,15,15,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
16,180,1,10,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
2,180,1,111614,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
8,180,1,10,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
13,180,1,9,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
8,180,1,10,0,0,0,0,19,19,5,5,1,1,1,2,0,0,2,3,0,1,0,0,0,0,0,0,0,Malicious
4,180,1,8,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
11,180,5,88,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
17,180,1,10,0,0,0,0,25,25,4,4,1,1,1,5,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
7,239,1,10,8,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
2,180,1,111612,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
2,195,1,15,0,0,0,0,30,30,4,4,1,1,1,1,0,0,1,2,1,1,0,0,0,1,0,0,0,Malicious
2,180,0,3,0,0,0,0,15,15,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,2,2,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
11,256,1,16,0,0,0,0,11,11,3,3,0,1,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
17,180,1,10,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,15,15,7,7,1,1,1,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
10,180,6,122,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,15,15,2,2,1,1,1,6,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
14,224,0,20,7,0,0,0,13,13,3,3,1,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
1,180,1,111113,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
15,180,1,10,0,0,0,0,17,17,3,3,1,1,1,7,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
1225,305,1,23,22,0,1,0,10,9,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,Malicious
9,180,1,9,0,0,0,0,27,27,6,7,4,4,4,2,0,0,1,1,1,0,0,0,0,0,0,0,0,Malicious
12,180,1,9,0,0,0,0,19,19,6,6,2,2,2,1,0,0,1,2,0,1,1,0,0,0,0,0,0,Malicious
37,180,1,11,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
11,224,0,20,7,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
5,201,1,79,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
1,180,1,111612,0,0,0,0,19,19,9,9,1,1,1,1,0,0,5,6,0,0,0,0,0,0,0,0,0,Malicious
17,180,1,10,0,0,0,0,12,12,3,3,1,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
31,249,2,29,0,0,0,1,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
3,180,0,8,0,0,0,0,31,31,8,8,3,3,3,2,0,0,1,2,0,0,0,1,0,0,0,0,0,Malicious
14,487,7,25,18,0,0,0,15,15,3,3,1,1,1,5,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,24,24,8,8,1,1,1,7,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
4,247,1,16,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
8,180,1,10,0,0,0,0,17,17,1,1,1,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
8,180,1,11,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
2,180,1,10,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
15,180,1,10,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
16,180,1,10,0,0,0,0,15,15,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
8,256,2,22,15,0,0,0,11,11,3,3,0,1,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
16,180,1,10,0,0,0,0,21,21,10,10,1,1,1,2,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
5,180,1,8,0,0,0,0,26,26,9,9,1,1,1,8,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,17,17,3,3,1,1,1,7,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,21,21,10,10,1,1,1,2,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
15,180,1,10,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
9,180,1,10,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
8,180,1,11,0,0,0,0,21,21,11,11,1,1,1,1,0,0,5,6,0,0,0,0,0,0,0,0,0,Malicious
13,180,1,348,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
7,239,1,10,8,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
2,196,1,15,0,0,0,0,10,10,3,3,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
87,331,1,32,42,0,0,0,11,11,3,3,0,1,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
8,180,1,10,0,0,0,0,17,17,3,3,1,1,1,7,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
15,180,1,10,0,0,0,0,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
10,180,1,9,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
8,180,1,10,0,0,0,0,10,10,3,3,1,1,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,Malicious
11,180,1,9,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
17,180,1,10,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
12,180,1,9,0,0,0,0,21,21,11,11,1,1,1,1,0,0,5,6,0,0,0,0,0,0,0,0,0,Malicious
8,180,1,10,0,0,0,0,13,13,3,3,1,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
15,224,0,20,7,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
3,180,0,8,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
8,180,1,10,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
16,248,1,10,7,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
4,247,1,16,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
1,180,1,111612,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
4,227,1,14,0,1,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
7,180,1,5,0,0,0,0,21,21,11,11,1,1,1,1,0,0,5,6,0,0,0,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,13,13,2,2,1,1,1,1,1,0,2,3,1,1,0,0,0,0,0,0,0,Malicious
16,180,1,10,0,0,0,0,114,114,53,51,6,6,4,4,0,5,2,2,2,0,0,0,0,0,0,0,0,Malicious
2,180,1,111612,0,0,0,0,13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
8,180,1,10,0,0,0,0,12,12,3,3,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,Malicious
15,180,1,10,0,0,0,0,16,17,8,8,1,1,1,1,0,0,3,4,0,0,0,0,0,0,0,0,0,Malicious
9,180,1,9,0,0,0,0,13,13,3,3,1,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
5,180,1,16,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
7,180,1,11,0,0,0,0,15,15,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
17,180,1,10,0,0,0,0,17,17,1,1,1,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
12,180,1,9,0,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
3,180,1,111612,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
154,180,1,6,0,0,0,0,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
6,180,1,10,0,0,0,0,19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,Malicious
15,224,0,20,7,0,0,0,28,28,10,10,1,1,1,9,0,0,1,2,0,1,0,0,0,0,0,0,0,Malicious
14,224,0,20,7,0,0,0,15,15,2,2,1,1,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,Malicious
1,180,1,111612,0,0,0,0,121,121,14,14,3,3,3,3,0,0,2,3,0,0,2,0,0,0,0,0,0,Malicious
5,218,1,10,0,0,0,0,14,14,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,Malicious
56,256,1,69,0,0,0,2,10,10,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Malicious
8,180,1,10,0,0,0,0,30,30,4,4,1,1,1,1,0,0,1,2,1,1,0,0,0,1,0,0,0,Malicious
