pdfsize,metadata size,xref Length,obj,endobj,JS,Javascript,Class
16,180,10,19,19,1,1,Malicious
15,224,20,24,24,1,1,Malicious
4,300,15,27,27,2,3,Malicious
4,256,15,19,19,0,0,Malicious
16,180,10,16,16,1,2,Malicious
26,347,21,15,15,1,2,Malicious
10,256,16,20,20,1,2,Malicious
132,180,1991,30,30,1,2,Malicious
9,180,9,17,17,1,1,Malicious
27,246,10,19,19,0,0,Malicious
22,256,16,19,19,0,0,Malicious
15,224,20,15,15,1,2,Malicious
10,180,9,15,15,2,3,Malicious
15,224,20,29,29,1,1,Malicious
2,195,15,11,11,3,4,Malicious
9,180,9,16,16,1,2,Malicious
5,218,10,21,21,3,4,Malicious
4,502,14,14,14,2,3,Malicious
9,180,9,16,16,1,2,Malicious
1,180,111612,10,10,1,1,Malicious
3,180,10,13,13,2,3,Malicious
14,224,20,13,13,2,3,Malicious
15,180,10,26,25,1,2,Malicious
15,256,16,11,11,1,2,Malicious
10,180,70,19,19,0,0,Malicious
193,180,9,19,19,0,0,Malicious
9,180,9,16,16,0,0,Malicious
5,201,79,14,14,2,3,Malicious
9,180,9,19,19,5,6,Malicious
19,180,10,10,10,1,1,Malicious
16,180,10,28,28,3,4,Malicious
10,377,21,19,19,0,0,Malicious
4,229,10,20,20,1,2,Malicious
154,180,6,19,19,1,2,Malicious
0,180,2,19,19,0,0,Malicious
15,224,20,1,0,0,0,Malicious
6,256,19,19,19,0,0,Malicious
2,180,8,18,18,2,3,Malicious
31,255,10,19,19,0,0,Malicious
17,292,10,30,30,1,2,Malicious
14,224,20,17,17,2,3,Malicious
11,180,9,19,19,0,0,Malicious
7,250,15,29,29,1,1,Malicious
5,222,15,10,10,1,1,Malicious
14,224,20,14,14,2,3,Malicious
4,201,52,19,19,0,0,Malicious
9,180,9,121,121,2,3,Malicious
5,180,132,10,10,1,2,Malicious
83,256,22,30,30,1,2,Malicious
7,180,9,21,21,3,4,Malicious
30,256,16,10,10,1,2,Malicious
6,300,15,15,15,1,2,Malicious
3,180,8,14,14,2,3,Malicious
8,180,11,20,20,0,0,Malicious
80,180,9,14,14,2,3,Malicious
3,180,10,10,10,1,1,Malicious
15,224,20,13,12,2,3,Malicious
6,218,10,13,13,1,2,Malicious
12,180,9,22,22,1,2,Malicious
8,254,10,12,12,1,2,Malicious
16,180,10,13,13,2,3,Malicious
8,180,10,19,19,1,2,Malicious
3,180,5,19,19,0,0,Malicious
3,180,8,14,14,2,3,Malicious
5,180,18,19,19,0,0,Malicious
7,180,10,17,17,1,1,Malicious
38,180,11,29,29,1,1,Malicious
9,283,19,10,10,1,1,Malicious
9,180,9,18,18,1,2,Malicious
15,180,10,28,28,1,2,Malicious
8,180,11,21,21,2,3,Malicious
9,180,70,10,10,1,1,Malicious
3,180,111614,17,17,1,1,Malicious
8,180,10,11,11,3,4,Malicious
80,180,11,19,19,0,0,Malicious
41,180,11,10,10,1,1,Malicious
4,180,9,10,10,1,1,Malicious
12,180,9,12,12,1,2,Malicious
12,180,9,19,19,2,3,Malicious
4,216,28,10,10,1,1,Malicious
8,180,10,14,14,3,4,Malicious
3,180,10,10,10,1,2,Malicious
14,224,20,10,9,1,1,Malicious
15,257,16,19,19,0,0,Malicious
3,256,15,12,12,1,2,Malicious
4,224,10,10,10,1,2,Malicious
29,180,6,14,14,2,3,Malicious
2,180,111612,15,15,2,3,Malicious
10,256,16,10,10,1,1,Malicious
8,180,11,13,13,1,2,Malicious
14,256,16,10,10,1,1,Malicious
15,180,10,10,10,1,2,Malicious
3,180,8,19,19,0,0,Malicious
2,180,10,19,19,0,0,Malicious
8,256,22,19,19,0,0,Malicious
4,247,16,21,21,0,0,Malicious
137,256,73,15,15,1,2,Malicious
2,180,8,10,10,1,1,Malicious
5,180,8,10,10,1,1,Malicious
14,224,20,10,10,1,2,Malicious
47,331,21,19,19,0,0,Malicious
7,180,11,20,20,3,4,Malicious
2,195,15,26,25,1,2,Malicious
2,180,111612,11,11,3,4,Malicious
133,180,9,11,11,1,2,Malicious
1,180,111714,15,15,1,2,Malicious
12,250,28,19,19,0,0,Malicious
2,180,111612,26,26,2,3,Malicious
4,402,14,12,12,1,2,Malicious
10,258,31,15,15,1,2,Malicious
94,180,9,30,30,1,2,Malicious
12,180,9,20,20,4,6,Malicious
8,288,17,10,10,1,1,Malicious
15,180,10,16,16,1,2,Malicious
7,201,996,10,10,1,1,Malicious
2,180,10,21,21,5,6,Malicious
8,256,22,14,14,2,3,Malicious
17,250,15,10,10,1,1,Malicious
7,180,10,14,14,2,3,Malicious
16,180,10,17,17,2,3,Malicious
8,180,10,27,27,5,6,Malicious
7,180,1991,10,10,1,1,Malicious
15,224,20,10,10,1,2,Malicious
14,256,16,13,13,1,2,Malicious
8,250,15,19,19,0,0,Malicious
100,256,38,15,15,1,2,Malicious
8,180,10,14,14,2,3,Malicious
10,180,36,19,19,0,0,Malicious
17,180,10,26,26,1,1,Malicious
8,246,19,12,12,1,2,Malicious
8,180,10,17,17,2,3,Malicious
4,180,14,20,20,1,2,Malicious
16,180,7,19,19,0,0,Malicious
10,256,16,14,14,3,4,Malicious
1,180,111612,16,17,3,4,Malicious
306,180,9,19,19,0,0,Malicious
5,218,10,10,10,1,2,Malicious
3,180,7,15,15,1,2,Malicious
2,180,111612,12,12,1,2,Malicious
12,180,9,13,13,2,3,Malicious
16,180,10,21,21,2,4,Malicious
8,180,10,29,29,1,1,Malicious
8,180,10,20,20,1,2,Malicious
138,261,16,19,19,0,0,Malicious
7,180,11,17,17,1,2,Malicious
11,256,16,19,19,0,0,Malicious
15,224,20,10,10,1,1,Malicious
10,258,31,23,23,3,4,Malicious
35,258,10,19,19,0,0,Malicious
15,180,10,30,30,1,2,Malicious
4,196,28,19,19,0,0,Malicious
12,180,9,13,13,1,2,Malicious
12,180,9,13,13,3,4,Malicious
11,258,31,15,15,1,2,Malicious
16,226,8,30,30,1,2,Malicious
9,180,9,10,10,1,1,Malicious
4,220,12,11,11,3,4,Malicious
8,246,19,10,10,1,2,Malicious
16,180,10,11,11,1,1,Malicious
7,201,996,12,12,1,2,Malicious
15,224,20,17,17,2,3,Malicious
37,180,11,21,21,5,6,Malicious
94,180,9,14,14,2,3,Malicious
1,180,111113,16,16,1,2,Malicious
8,180,10,24,24,1,1,Malicious
14,224,20,11,11,3,4,Malicious
8,180,10,26,26,2,3,Malicious
14,224,20,27,27,5,6,Malicious
23,258,10,10,10,1,1,Malicious
9,290,10,10,10,1,1,Malicious
3,180,8,10,10,1,1,Malicious
15,180,10,15,15,2,3,Malicious
17,180,10,21,21,5,6,Malicious
15,224,20,26,26,1,1,Malicious
17,250,15,19,19,0,0,Malicious
17,258,10,14,14,2,3,Malicious
12,180,9,12,12,0,0,Malicious
10,256,16,10,10,1,2,Malicious
11,258,31,15,15,2,3,Malicious
8,180,11,17,17,2,3,Malicious
10,180,70,30,30,1,2,Malicious
9,180,9,24,24,3,4,Malicious
210,180,9,10,10,1,1,Malicious
8,180,5,10,10,1,1,Malicious
10,256,16,13,13,2,3,Malicious
5,180,14,15,15,2,3,Malicious
17,180,10,26,25,1,2,Malicious
17,180,10,30,30,1,2,Malicious
4,256,15,10,10,1,1,Malicious
2,180,111612,14,14,2,3,Malicious
24,258,10,10,10,1,2,Malicious
79,256,96,14,14,2,3,Malicious
9,180,9,32,32,2,2,Malicious
8,224,10,10,10,1,2,Malicious
12,180,9,17,17,1,2,Malicious
33,32762,4,19,19,0,0,Malicious
17,180,10,3,3,1,2,Malicious
16,180,10,31,31,3,4,Malicious
42,180,11,10,10,1,2,Malicious
36,258,10,19,19,0,0,Malicious
6,211,18,19,19,0,0,Malicious
9,180,9,11,11,1,1,Malicious
15,180,10,12,12,2,3,Malicious
10,180,70,10,10,1,1,Malicious
9,180,9,12,12,2,3,Malicious
12,180,9,24,24,1,2,Malicious
17,180,10,22,22,1,2,Malicious
4,180,14,15,15,1,2,Malicious
5,180,8,19,19,0,0,Malicious
7,180,17,11,11,3,4,Malicious
400,285,127,19,19,0,0,Malicious
7,239,10,121,121,2,3,Malicious
4,402,14,16,17,3,4,Malicious
9,180,9,19,19,1,2,Malicious
15,224,20,11,11,1,1,Malicious
2,196,15,19,19,0,0,Malicious
16,180,10,10,10,1,2,Malicious
15,180,10,24,24,1,2,Malicious
12,373,23,19,19,0,0,Malicious
15,224,20,22,22,1,2,Malicious
2,180,111612,22,22,1,1,Malicious
4,201,79,12,12,2,3,Malicious
34,180,16,10,10,1,2,Malicious
5,218,10,10,10,1,1,Malicious
8,180,11,10,10,1,2,Malicious
95,180,9,14,14,2,3,Malicious
15,180,10,15,15,1,2,Malicious
15,256,16,16,17,3,4,Malicious
3,220,10,19,19,0,0,Malicious
11,180,16,15,15,1,2,Malicious
4,218,10,19,19,0,0,Malicious
15,180,10,22,22,1,2,Malicious
37,180,11,15,15,3,4,Malicious
15,224,20,14,14,0,1,Malicious
11,258,31,13,13,3,4,Malicious
9,180,9,18,18,2,3,Malicious
8,180,10,14,14,0,1,Malicious
2,180,10,15,15,2,3,Malicious
41,180,9,15,15,1,2,Malicious
1,180,111113,17,17,1,1,Malicious
12,180,9,22,22,1,1,Malicious
12,180,9,14,14,3,4,Malicious
46,327,59,19,19,0,0,Malicious
8,180,70,14,14,3,4,Malicious
2,196,15,11,11,3,4,Malicious
17,365,29,19,19,0,0,Malicious
8,180,10,28,28,1,2,Malicious
5,180,16,22,22,1,2,Malicious
3,180,8,10,10,1,1,Malicious
8,180,11,25,25,1,2,Malicious
15,180,10,15,15,3,4,Malicious
35,258,10,10,10,1,1,Malicious
15,180,10,17,17,2,3,Malicious
45,180,12,19,19,0,0,Malicious
14,224,20,11,11,1,1,Malicious
8,180,9,26,25,1,2,Malicious
2,180,111614,26,26,3,4,Malicious
15,180,10,11,11,3,4,Malicious
21,180,6,19,19,0,0,Malicious
4,180,14,14,14,2,3,Malicious
7,180,10,13,13,2,3,Malicious
3,180,9,21,21,0,0,Malicious
5,180,10,21,21,5,6,Malicious
12,180,9,12,12,1,2,Malicious
9,246,10,19,19,0,0,Malicious
4,326,13,14,14,2,3,Malicious
9,256,22,11,11,3,4,Malicious
9,258,31,19,19,0,0,Malicious
2,180,8,26,25,1,2,Malicious
14,360,29,19,19,0,0,Malicious
8,276,18,28,28,1,2,Malicious
10,258,10,17,17,1,2,Malicious
5,246,16,12,12,2,3,Malicious
37,180,11,19,19,0,0,Malicious
4,180,14,3,3,1,2,Malicious
6,307,18,10,10,1,1,Malicious
80,180,10,19,19,0,0,Malicious
9,180,9,17,17,0,0,Malicious
17,250,15,22,22,1,2,Malicious
1,180,111113,10,10,1,2,Malicious
306,180,9,14,14,2,3,Malicious
7,180,10,11,11,3,4,Malicious
9,180,70,27,27,5,6,Malicious
15,224,20,19,19,5,6,Malicious
9,180,9,28,28,2,3,Malicious
11,258,31,14,14,2,3,Malicious
5,243,16,21,21,0,0,Malicious
16,180,10,30,30,1,2,Malicious
17,345,29,13,13,2,3,Malicious
8,232,18,17,17,1,1,Malicious
7,180,10,28,28,1,2,Malicious
17,377,29,17,17,1,2,Malicious
8,180,11,28,28,1,2,Malicious
12,258,31,10,10,1,1,Malicious
37,336,28,13,13,2,3,Malicious
16,180,10,27,27,2,3,Malicious
7,201,996,16,16,1,2,Malicious
12,384,21,21,21,5,6,Malicious
17,250,15,12,12,2,3,Malicious
15,256,16,20,20,1,2,Malicious
6,250,15,19,19,0,0,Malicious
75,256,36,19,19,0,0,Malicious
16,180,10,17,17,1,1,Malicious
15,224,20,14,14,3,4,Malicious
9,180,9,22,22,1,2,Malicious
7,201,996,19,19,0,0,Malicious
1,180,9,21,21,5,6,Malicious
9,298,10,19,19,0,0,Malicious
26,246,10,19,19,0,0,Malicious
7,250,15,12,12,2,3,Malicious
31,180,49,14,14,2,3,Malicious
9,180,9,11,11,1,2,Malicious
17,180,10,12,13,3,4,Malicious
13,180,9,17,17,1,2,Malicious
5,180,16,14,14,2,3,Malicious
14,224,20,14,14,3,4,Malicious
83,256,22,14,14,2,3,Malicious
41,180,11,21,21,3,4,Malicious
45,180,12,10,10,1,1,Malicious
17,250,15,11,11,1,1,Malicious
9,180,9,18,18,1,2,Malicious
2,222,15,19,19,0,0,Malicious
2048,180,111714,10,10,1,1,Malicious
10,256,16,11,11,3,4,Malicious
8,180,11,15,15,2,3,Malicious
2,256,15,10,10,1,1,Malicious
3,180,9,14,14,2,3,Malicious
9,180,9,15,15,1,2,Malicious
1,180,111113,13,13,2,3,Malicious
9,180,9,20,20,1,2,Malicious
240,296,95,13,13,2,3,Malicious
3,250,15,19,19,0,0,Malicious
12,180,9,23,23,2,3,Malicious
2,180,111612,23,23,2,3,Malicious
16,180,10,12,12,2,3,Malicious
12,258,31,19,19,0,0,Malicious
306,180,9,13,13,2,3,Malicious
58,321,25,11,11,3,4,Malicious
9,292,10,11,11,3,4,Malicious
9,180,9,24,24,5,6,Malicious
8,180,11,17,17,1,1,Malicious
2,180,11,22,22,1,2,Malicious
4,250,15,21,21,5,6,Malicious
232,180,6,19,19,0,0,Malicious
146,180,9,19,19,1,1,Malicious
16,180,10,22,22,1,2,Malicious
7,250,15,16,16,0,0,Malicious
8,180,11,21,21,0,0,Malicious
2,224,31,10,10,1,1,Malicious
17,180,10,10,10,1,2,Malicious
8,180,10,10,10,1,2,Malicious
8,180,11,27,27,1,1,Malicious
9,180,9,25,25,1,1,Malicious
21,256,16,10,10,1,1,Malicious
9,180,9,14,14,2,3,Malicious
80,296,84,13,13,1,2,Malicious
1,180,111113,18,18,1,2,Malicious
8,180,10,21,21,3,4,Malicious
12,224,20,26,26,1,2,Malicious
7,201,996,28,28,1,2,Malicious
5,180,5,21,21,5,6,Malicious
40,340,27,10,10,1,1,Malicious
7,180,10,26,26,1,2,Malicious
7,180,11,19,19,0,0,Malicious
8,180,10,119,119,19,19,Malicious
8,180,11,27,27,1,2,Malicious
37,180,11,16,16,1,2,Malicious
4,180,14,19,19,1,1,Malicious
15,180,10,13,12,2,3,Malicious
5,180,18,13,13,2,3,Malicious
23,277,30,22,22,1,2,Malicious
126,291,17,14,14,2,3,Malicious
9,180,9,16,17,3,4,Malicious
15,224,20,21,21,2,4,Malicious
8,180,11,32,32,2,2,Malicious
38,256,28,19,19,0,0,Malicious
5,218,10,13,13,2,3,Malicious
58,330,25,11,11,1,1,Malicious
15,180,10,16,16,0,0,Malicious
17,180,10,24,24,5,6,Malicious
1,180,111612,20,20,1,2,Malicious
15,224,20,26,26,1,2,Malicious
2,226,10,19,19,0,0,Malicious
8,180,11,19,19,1,1,Malicious
4,383,13,19,19,0,0,Malicious
14,224,20,21,21,5,6,Malicious
16,180,10,12,12,1,2,Malicious
15,224,20,19,19,1,2,Malicious
57,256,41,15,15,1,2,Malicious
3,250,15,10,10,1,1,Malicious
5,180,16,17,17,1,2,Malicious
5,209,15,29,29,1,1,Malicious
15,224,20,30,30,1,2,Malicious
17,270,10,19,19,0,0,Malicious
8,180,10,24,24,1,2,Malicious
6,218,10,19,19,0,0,Malicious
8,180,1991,10,10,1,1,Malicious
1,180,111714,14,14,2,3,Malicious
4,402,14,14,14,2,3,Malicious
11,180,88,13,13,1,2,Malicious
1,180,111113,25,25,1,1,Malicious
154,180,6,26,25,1,2,Malicious
17,242,10,21,21,5,6,Malicious
873,275,45,19,19,0,0,Malicious
9,180,70,21,21,1,1,Malicious
2,180,111614,13,13,2,3,Malicious
12,180,9,14,14,2,3,Malicious
17,180,10,11,11,3,4,Malicious
2,180,111612,30,30,1,2,Malicious
9,180,10,10,10,1,1,Malicious
8,243,16,10,10,1,1,Malicious
14,256,16,15,15,2,3,Malicious
9,180,9,18,18,3,4,Malicious
4,180,14,19,19,1,2,Malicious
17,254,10,13,13,2,3,Malicious
7,239,10,13,13,2,3,Malicious
6,300,15,14,14,2,3,Malicious
154,180,6,14,14,2,3,Malicious
8,180,11,17,17,1,2,Malicious
5,180,16,10,10,1,1,Malicious
15,180,10,12,12,1,2,Malicious
1,180,9,14,14,2,3,Malicious
12,180,9,21,21,2,3,Malicious
7,239,10,11,11,3,4,Malicious
9,180,9,17,17,1,2,Malicious
8,180,11,26,25,1,2,Malicious
2048,180,16,10,10,1,2,Malicious
310,180,9,12,13,3,4,Malicious
17,248,10,10,10,1,1,Malicious
11,180,9,19,19,1,2,Malicious
7,250,15,19,19,0,0,Malicious
14,180,10,17,17,1,1,Malicious
1,180,111113,11,11,3,4,Malicious
7,180,10,15,15,1,2,Malicious
2,250,15,19,19,0,0,Malicious
8,180,11,12,12,2,3,Malicious
